,blueTopChamp,blueJungleChamp,blueMiddleChamp,blueADCChamp,blueSupportChamp,redTopChamp,redJungleChamp,redMiddleChamp,redADCChamp,redSupportChamp,b1,b2,b3,b4,b5,r1,r2,r3,r4,r5,bResult
0,Irelia,RekSai,Ahri,Jinx,Janna,Gnar,Elise,Fizz,Sivir,Thresh,Rumble, Kassadin, Lissandra,,,Tristana, Leblanc, Nidalee,,,1
1,Gnar,Rengar,Ahri,Caitlyn,Leona,Irelia,JarvanIV,Azir,Corki,Annie,Kassadin, Sivir, Lissandra,,,RekSai, Janna, Leblanc,,,0
2,Renekton,Rengar,Fizz,Sivir,Annie,Sion,LeeSin,Azir,Corki,Janna,JarvanIV, Lissandra, Kassadin,,,Leblanc, Zed, RekSai,,,1
3,Irelia,JarvanIV,Leblanc,Sivir,Thresh,Gnar,Nunu,Lulu,KogMaw,Janna,Annie, Lissandra, Kassadin,,,RekSai, Rumble, LeeSin,,,0
4,Gnar,JarvanIV,Lissandra,Tristana,Janna,Sion,RekSai,Lulu,Corki,Annie,Irelia, Pantheon, Kassadin,,,Rumble, Sivir, Rengar,,,1
5,Kassadin,Rengar,Leblanc,Sivir,Annie,Gnar,JarvanIV,Lulu,Corki,Thresh,LeeSin, Rumble, Janna,,,Azir, RekSai, Lissandra,,,0
6,Irelia,JarvanIV,Xerath,Corki,Janna,Renekton,LeeSin,Leblanc,Tristana,Nami,Zed, Sivir, Annie,,,RekSai, Gnar, Kassadin,,,1
7,Renekton,JarvanIV,Azir,Caitlyn,Annie,Rumble,Rengar,Leblanc,Sivir,Blitzcrank,Lissandra, Janna, Kassadin,,,Nunu, Gnar, RekSai,,,1
8,Sion,RekSai,Orianna,KogMaw,Janna,Kassadin,Vi,Zed,Corki,Morgana,JarvanIV, Gnar, Sivir,,,Rumble, Lissandra, Fizz,,,0
9,Irelia,Nocturne,Orianna,Sivir,Nami,Gnar,Rengar,Leblanc,Graves,Morgana,Rumble, Janna, Kassadin,,,RekSai, JarvanIV, Lissandra,,,1
10,Gnar,JarvanIV,Azir,Corki,Morgana,Lulu,LeeSin,Xerath,Ezreal,Janna,Irelia, Annie, Sivir,,,RekSai, Lissandra, Kassadin,,,1
11,Jax,JarvanIV,Kassadin,Graves,Morgana,Gnar,RekSai,Ahri,Corki,Thresh,Janna, Rumble,,,,Nocturne, Sivir, Irelia,,,1
12,Irelia,Vi,Lissandra,Kalista,Annie,Gnar,JarvanIV,Ahri,Sivir,Leona,Azir, Lulu, Cassiopeia,,,Rumble, Kassadin, RekSai,,,1
13,Lulu,LeeSin,Xerath,Corki,Janna,Sion,JarvanIV,Cassiopeia,Kalista,Blitzcrank,Azir, Kassadin, Lissandra,,,RekSai, Leblanc, Rumble,,,0
14,Maokai,JarvanIV,Leblanc,Kalista,Annie,Lulu,Rengar,Morgana,Tristana,Janna,Kassadin, Sivir, Lissandra,,,RekSai, Irelia, Rumble,,,1
15,Rumble,Vi,Zed,Caitlyn,Morgana,Gnar,RekSai,Leblanc,Corki,Janna,Annie, Kassadin, Kalista,,,JarvanIV, Cassiopeia, Lissandra,,,1
16,Gnar,JarvanIV,Azir,KogMaw,Nami,Maokai,LeeSin,Zed,Sivir,Janna,Kalista, Lissandra, Annie,,,RekSai, Kassadin, Corki,,,0
17,Lissandra,JarvanIV,Xerath,Tristana,Morgana,Gnar,Nunu,Ahri,Caitlyn,Janna,Cassiopeia, Annie, Sivir,,,Kalista, Rumble, Kassadin,,,1
18,Gnar,LeeSin,Leblanc,KogMaw,Nami,Malphite,JarvanIV,Orianna,Graves,Janna,Irelia, Jax, Sivir,,,Rumble, Kassadin, Lissandra,,,1
19,Sion,Rengar,Ahri,Sivir,Janna,Lissandra,JarvanIV,Corki,Kalista,Thresh,Zed, Azir, Kassadin,,,Irelia, Gnar, Xerath,,,0
20,Lulu,RekSai,Corki,Kalista,Morgana,Rumble,LeeSin,Ahri,Graves,Annie,Leblanc, Xerath, Azir,,,JarvanIV, Kassadin, Lissandra,,,0
21,Maokai,Vi,Kassadin,Graves,Annie,Irelia,JarvanIV,Corki,Sivir,Leona,Nidalee, Leblanc, Ahri,,,Kalista, Rumble, Lissandra,,,1
22,RekSai,Vi,Azir,Corki,Thresh,Maokai,LeeSin,Xerath,Sivir,Morgana,Rumble, Kassadin, Annie,,,JarvanIV, Lissandra, Ahri,,,0
23,Lissandra,RekSai,Xerath,Vayne,Nami,Sion,JarvanIV,Cassiopeia,Sivir,Morgana,Irelia, Ahri, Gnar,,,Kalista, Kassadin, Annie,,,1
24,Gnar,JarvanIV,Kassadin,Sivir,Janna,Irelia,Vi,Nidalee,Jinx,Morgana,Kalista, Annie, Blitzcrank,,,Maokai, Lissandra, Leblanc,,,0
25,Rumble,Vi,Leblanc,Graves,Morgana,Maokai,JarvanIV,Xerath,Lucian,Janna,Ahri, Irelia, Gnar,,,Kassadin, Lissandra, Kalista,,,1
26,Lissandra,LeeSin,Ezreal,Sivir,Alistar,Irelia,Vi,Azir,Corki,Janna,Kassadin, JarvanIV, Morgana,,,Ahri, Annie, Kalista,,,1
